"Variable","Type","Description"
"subject_id","integer","Patient identifier (de-identified)"
"hadm_id","integer","Hospital admission identifier"
"icustay_id","integer","ICU stay identifier"
"icu_los_days","numeric","ICU length of stay (days)"
"first_careunit","character","First ICU unit type"
"last_careunit","character",""
"intime","POSIXct",""
"outtime","POSIXct",""
"gender","character","Sex: Male or Female"
"age_years","numeric","Age at ICU admission (years, fractional)"
"hospital_expire_flag","integer",""
"admission_department","character","Admission department"
"diagnosis","character","Primary diagnosis text"
"surgery_name","character","Name of surgical procedure"
"anes_method","character","Anesthesia method"
"surg_type","character","Type of cardiac surgery performed"
"age_group","character","Age category"
"death","integer","In-hospital mortality (1=dead, 0=alive)"
"Bicarbonate","numeric",""
"Creatinine","numeric","Serum creatinine, first value (mg/dL)"
"Hemoglobin","numeric","Hemoglobin, first value (g/dL)"
"Lactate","numeric","Lactate, first value (mmol/L)"
"Platelet Count","numeric","Platelet count, first value (K/uL)"
"Potassium","numeric",""
"WBC Count","numeric","White blood cell count, first value (K/uL)"
"vasoactive_drug","logical","Any vasoactive drug use (TRUE/FALSE)"
